index,lpToken,allocPoint,isRegular,token0,token0_name,token1,token1_name,volume_24h,lp_reward_fee_24h,TVL,Farm_Liquidity,average_daily_liquidity_of_pool_in_$,average_daily_trading_volume_of_pool_in_$,exchange_fee%,1000000.0_daily_basic_earning_in_$,1000000.0_daily_basic_earning_in_BPS,total_liquidity_pool_size_in_$,1000000.0_daily_mining_reward_in_BPS,1000000.0_daily_mining_reward_in_$,token_zero_delta_exchange,token_zero_delta_hedge_type,token_zero_delta_base_currency,token_zero_delta_symbol,token_zero_delta_bid_price,token_zero_delta_timestamp,token_zero_delta_funding_rate,token_zero_delta_next_funding_rate_time,token_zero_delta_fee_rate,1000000.0_token_zero_delta_hedge_min_fees,token_one_delta_exchange,token_one_delta_hedge_type,token_one_delta_base_currency,token_one_delta_symbol,token_one_delta_bid_price,token_one_delta_timestamp,token_one_delta_funding_rate,token_one_delta_next_funding_rate_time,token_one_delta_fee_rate,1000000.0_token_one_delta_hedge_min_fees,1000000.0_base_hedging_costs_in_$,1000000.0_impermanent_loss_in_amount_to_short,1000000.0_impermanent_loss_downside_covered
2.0,0x0eD7e52944161450477ee417DE9Cd3a859b14fD0,4000.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,4368.57K,7.43K,121133.43K,112266.44K,121895.78K,4579.29K,0.17,60.8,0.61,112971.3K,7.91,791.04,FTX,Perpetual,CAKE,CAKE-PERP,3.0525,1970-01-19 19:58:37,-3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
3.0,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16,1100.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,47638.57K,80.99K,180546.4K,170592.23K,180239.16K,23819.29K,0.17,446.09,4.46,170248.32K,1.45,144.78,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,-236219.53305284109,-0.3187495289821306
4.0,0x28415ff2C35b65B9E5c7de82126b4015ab9d031F,50.0,1.0,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,ADA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,911.43K,1.55K,6289.28K,4809.07K,6365.55K,944.29K,0.17,212.44,2.12,4860.35K,1.92,192.31,FTX,Perpetual,ADA,ADA-PERP,0.470455,1970-01-19 19:58:37,-1.9e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
5.0,0xDd5bAd8f8b360d76d12FdA230F8BAF42fe0022CF,100.0,1.0,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,DOT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,7590.01K,6710.66K,7733.55K,561.43K,0.17,212.44,2.12,6843.69K,2.87,287.41,FTX,Perpetual,DOT,DOT-PERP,7.566,1970-01-19 19:58:37,-2.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
6.0,0x824eb9faDFb377394430d2744fa7C42916DE3eCe,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,LINK,984.29K,1.67K,7493.72K,6897.04K,7560.16K,492.14K,0.17,196.95,1.97,6958.36K,1.42,141.61,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,LINK,LINK-PERP,6.727,1970-01-19 19:58:37,-4e-06,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
7.0,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,250.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,6741.43K,11.46K,267303.7K,243294.08K,268029.01K,6913.57K,0.17,42.72,0.43,244124.65K,0.23,22.99,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
8.0,0x3DcB1787a95D2ea0Eb7d00887704EeBF0D79bb13,10.0,1.0,0x4B0F1812e5Df2A09796481Ff14017e6005508003,TWT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,642.86K,1.09K,1174.91K,882.45K,1180.49K,622.14K,0.17,502.48,5.02,887.02K,1.19,119.44,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
9.0,0x7EB5D86FD78f3852a3e0e064f2842d45a3dB6EA2,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,XVS,448.57K,762.86,2772.34K,2348.69K,2768.11K,442.14K,0.17,202.22,2.02,2345.16K,3.37,336.89,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,,
10.0,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,250.0,1.0,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,4900.0K,8.33K,37688.97K,33978.2K,38380.4K,5290.0K,0.17,215.31,2.15,34608.15K,1.58,158.28,FTX,Perpetual,ETH,ETH-PERP,1074.2,1970-01-19 19:58:37,-3e-06,2022-06-22 15:00:00+00:00,0.02,200.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,400.0,,
11.0,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,250.0,1.0,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,BTCB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,2927.14K,4.98K,42169.93K,39506.8K,42610.5K,3069.29K,0.17,115.29,1.15,39914.0K,1.38,137.73,0,0,0,0,0.0,0,0.0,0,0.0,0.0,FTX,Perpetual,BNB,BNB-PERP,216.0875,1970-01-19 19:58:37,-1.3e-05,2022-06-22 15:00:00+00:00,0.02,200.0,0.0,,
