,exchange,hedge_type,base_currency,symbol,bid_price,ask_price,timestamp,borrow_rate,maker_fee,taker_fee,days_to_expiration,expiration_date,funding_rate,next_funding_rate_time
0,FTX,Perpetual,1INCH,1INCH-PERP,0.6747,0.6749,1655917761.28475,0,0.02,0.07,inf,,-1.2e-05,2022-06-22 16:00:00+00:00
1,FTX,Delivery,1INCH,1INCH-0624,0.6734,0.6774,1655917761.284799,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
2,FTX,Delivery,1INCH,1INCH-0930,0.6312,0.6367,1655917761.284811,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
3,FTX,Delivery,AAPL,AAPL-0624,135.98,136.09,1655917761.284821,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
4,FTX,Delivery,AAPL,AAPL-0930,135.8,135.91,1655917761.284831,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
5,FTX,Perpetual,AAVE,AAVE-PERP,64.28,64.32,1655917761.28484,0,0.02,0.07,inf,,-1.3e-05,2022-06-22 15:00:00+00:00
6,FTX,Delivery,AAVE,AAVE-0624,63.92,64.62,1655917761.284849,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
7,FTX,Delivery,AAVE,AAVE-0930,63.31,65.66,1655917761.284859,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
8,FTX,Delivery,ABNB,ABNB-0624,100.775,100.94,1655917761.284869,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
9,FTX,Delivery,ABNB,ABNB-0930,100.795,100.91,1655917761.284878,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
10,FTX,Delivery,ACB,ACB-0624,1.326,1.33,1655917761.284888,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
11,FTX,Delivery,ACB,ACB-0930,1.327,1.36,1655917761.284897,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
12,FTX,Perpetual,ADA,ADA-PERP,0.470455,0.47068,1655917761.284905,0,0.02,0.07,inf,,-1.9e-05,2022-06-22 15:00:00+00:00
13,FTX,Delivery,ADA,ADA-0624,0.4687,0.469035,1655917761.284914,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
14,FTX,Delivery,ADA,ADA-0930,0.461875,0.464155,1655917761.284924,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
15,FTX,Perpetual,AGLD,AGLD-PERP,0.2965,0.297,1655917761.284932,0,0.02,0.07,inf,,0.0,2022-06-22 15:00:00+00:00
16,FTX,Perpetual,ALCX,ALCX-PERP,19.2,19.3,1655917761.28494,0,0.02,0.07,inf,,-0.000222,2022-06-22 16:00:00+00:00
17,FTX,Perpetual,ALGO,ALGO-PERP,0.321,0.3212,1655917761.284947,0,0.02,0.07,inf,,-4.5e-05,2022-06-22 15:00:00+00:00
18,FTX,Delivery,ALGO,ALGO-0624,0.3207,0.3221,1655917761.284957,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
19,FTX,Delivery,ALGO,ALGO-0930,0.3196,0.3271,1655917761.284967,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
20,FTX,Perpetual,ALICE,ALICE-PERP,2.275,2.2775,1655917761.284974,0,0.02,0.07,inf,,-2.2e-05,2022-06-22 15:00:00+00:00
21,FTX,Perpetual,ALPHA,ALPHA-PERP,0.11245,0.11255,1655917761.284982,0,0.02,0.07,inf,,9e-06,2022-06-22 15:00:00+00:00
22,FTX,Perpetual,ALT,ALT-PERP,1596.7,1597.95,1655917761.284989,0,0.02,0.07,inf,,-3e-06,2022-06-22 15:00:00+00:00
23,FTX,Delivery,ALT,ALT-0624,1595.0,1601.0,1655917761.285,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
24,FTX,Delivery,ALT,ALT-0930,1583.9,1589.15,1655917761.285009,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
25,FTX,Delivery,AMC,AMC-0624,12.835,13.3775,1655917761.285019,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
26,FTX,Delivery,AMC,AMC-0930,12.8475,12.915,1655917761.285029,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
27,FTX,Delivery,AMD,AMD-0624,84.24,84.33,1655917761.285038,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
28,FTX,Delivery,AMD,AMD-0930,84.24,84.36,1655917761.285048,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
29,FTX,Perpetual,AMPL,AMPL-PERP,0.8191,0.821,1655917761.285055,0,0.02,0.07,inf,,0.000476,2022-06-22 15:00:00+00:00
30,FTX,Delivery,AMZN,AMZN-0624,109.2,110.7,1655917761.285065,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
31,FTX,Delivery,AMZN,AMZN-0930,109.6,110.5,1655917761.285074,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
32,FTX,Perpetual,ANC,ANC-PERP,0.12825,0.1285,1655917761.285082,0,0.02,0.07,inf,,4e-05,2022-06-22 15:00:00+00:00
33,FTX,Perpetual,APE,APE-PERP,4.2185,4.222,1655917761.28509,0,0.02,0.07,inf,,-1.8e-05,2022-06-22 15:00:00+00:00
34,FTX,Delivery,APE,APE-0930,4.183,4.219,1655917761.285099,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
35,FTX,Perpetual,AR,AR-PERP,9.216,9.227,1655917761.285107,0,0.02,0.07,inf,,1e-05,2022-06-22 15:00:00+00:00
36,FTX,Delivery,ARKK,ARKK-0624,41.64,41.71,1655917761.285117,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
37,FTX,Delivery,ARKK,ARKK-0930,41.63,41.79,1655917761.285126,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
38,FTX,Perpetual,ASD,ASD-PERP,0.11096,0.11143,1655917761.285134,0,0.02,0.07,inf,,-2.3e-05,2022-06-22 16:00:00+00:00
39,FTX,Perpetual,ATLAS,ATLAS-PERP,0.00608275,0.00609275,1655917761.285141,0,0.02,0.07,inf,,-4e-06,2022-06-22 15:00:00+00:00
40,FTX,Perpetual,ATOM,ATOM-PERP,6.9015,6.904,1655917761.285148,0,0.02,0.07,inf,,4e-06,2022-06-22 15:00:00+00:00
41,FTX,Delivery,ATOM,ATOM-0624,6.869,6.912,1655917761.285158,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
42,FTX,Delivery,ATOM,ATOM-0930,6.8165,6.9515,1655917761.285167,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
43,FTX,Perpetual,AUDIO,AUDIO-PERP,0.3675,0.368,1655917761.285175,0,0.02,0.07,inf,,-7.9e-05,2022-06-22 15:00:00+00:00
44,FTX,Perpetual,AVAX,AVAX-PERP,16.602,16.605,1655917761.285182,0,0.02,0.07,inf,,-4e-06,2022-06-22 15:00:00+00:00
45,FTX,Delivery,AVAX,AVAX-0624,16.563,16.62,1655917761.285192,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
46,FTX,Delivery,AVAX,AVAX-0930,16.327,16.436,1655917761.285201,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
47,FTX,Perpetual,AXS,AXS-PERP,14.177,14.186,1655917761.285209,0,0.02,0.07,inf,,-3.6e-05,2022-06-22 15:00:00+00:00
48,FTX,Delivery,AXS,AXS-0930,12.483,12.992,1655917761.285218,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
49,FTX,Delivery,BABA,BABA-0624,106.1,106.25,1655917761.285228,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
50,FTX,Delivery,BABA,BABA-0930,106.15,106.3,1655917761.285237,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
51,FTX,Perpetual,BADGER,BADGER-PERP,3.165,3.175,1655917761.285245,0,0.02,0.07,inf,,-0.000152,2022-06-22 15:00:00+00:00
52,FTX,Perpetual,BAL,BAL-PERP,4.51,4.5125,1655917761.285252,0,0.02,0.07,inf,,-0.000102,2022-06-22 16:00:00+00:00
53,FTX,Delivery,BAL,BAL-0624,4.365,4.5425,1655917761.285262,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
54,FTX,Delivery,BAL,BAL-0930,3.795,4.4425,1655917761.285272,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
55,FTX,Perpetual,BAND,BAND-PERP,1.405,1.407,1655917761.285279,0,0.02,0.07,inf,,-3.4e-05,2022-06-22 15:00:00+00:00
56,FTX,Perpetual,BAT,BAT-PERP,0.385925,0.386125,1655917761.285287,0,0.02,0.07,inf,,-2.2e-05,2022-06-22 16:00:00+00:00
57,FTX,Delivery,BB,BB-0624,5.355,5.37,1655917761.285296,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
58,FTX,Delivery,BB,BB-0930,5.355,5.3725,1655917761.285306,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
59,FTX,Perpetual,BCH,BCH-PERP,114.7,114.75,1655917761.285313,0,0.02,0.07,inf,,-2e-05,2022-06-22 16:00:00+00:00
60,FTX,Delivery,BCH,BCH-0624,114.45,114.95,1655917761.285323,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
61,FTX,Delivery,BCH,BCH-0930,113.2,114.3,1655917761.285332,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
62,FTX,Delivery,BILI,BILI-0624,26.525,26.63,1655917761.285341,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
63,FTX,Delivery,BILI,BILI-0930,26.65,26.74,1655917761.28535,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
64,FTX,Perpetual,BIT,BIT-PERP,0.419,0.41925,1655917761.285358,0,0.02,0.07,inf,,5.3e-05,2022-06-22 15:00:00+00:00
65,FTX,Delivery,BITO,BITO-0624,12.505,12.61,1655917761.285392,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
66,FTX,Delivery,BITO,BITO-0930,12.445,12.63,1655917761.285408,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
67,FTX,Delivery,BITW,BITW-0624,12.535,12.63,1655917761.285419,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
68,FTX,Delivery,BITW,BITW-0930,12.21,12.32,1655917761.285429,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
69,FTX,Perpetual,BNB,BNB-PERP,216.0875,216.1575,1655917761.285438,0,0.02,0.07,inf,,-1.3e-05,2022-06-22 15:00:00+00:00
70,FTX,Delivery,BNB,BNB-0624,215.9575,216.2375,1655917761.285448,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
