,index,lpToken,allocPoint,isRegular,token0,token0_name,token1,token1_name,average_daily_liquidity_of_pool_in_$,average_daily_trading_volume_of_pool_in_$,exchange_fee%,daily_basic_earning_in_$,daily_basic_earning_in_%,annual_basic_earning_in_$,annual_basic_earning_in_%,total_liquidity_pool_size_in_$,daily_mining_reward_in_%,annual_mining_reward_in_%,daily_mining_reward_in_$,annual_mining_reward_in_$
0,2.0,0x0eD7e52944161450477ee417DE9Cd3a859b14fD0,4000.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,176499381.6761144,4679999.999999999,0.17,4.506693246598589e-05,0.004506693246598589,0.016449430350084848,1.6449430350084848,162410372.8995369,0.0825395930306562,30.126951456189538,0.000825395930306562,0.3012695145618954
1,3.0,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16,1100.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,280932017.5247061,30961428.57142857,0.17,0.0001873559524401909,0.01873559524401909,0.06838492264066968,6.838492264066968,267990697.1900688,0.0137559016469656,5.020904101142472,0.000137559016469656,0.05020904101142472
2,4.0,0x28415ff2C35b65B9E5c7de82126b4015ab9d031F,50.0,1.0,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,ADA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,8092410.380814189,1408571.4285714286,0.17,0.00029604458659117697,0.029604458659117698,0.1080562741057796,10.80562741057796,5999729.615990168,0.0279289379294648,10.19406234425466,0.000279289379294648,0.10194062344254659
3,5.0,0xDd5bAd8f8b360d76d12FdA230F8BAF42fe0022CF,100.0,1.0,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,DOT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,10912548.70690895,637142.8571428572,0.17,9.923045220147009e-05,0.009923045220147008,0.03621911505353658,3.621911505353658,9654102.843411513,0.0347139612569836,12.670595858799016,0.000347139612569836,0.12670595858799016
4,6.0,0x824eb9faDFb377394430d2744fa7C42916DE3eCe,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,LINK,7472579.1075391155,857142.8571428572,0.17,0.0001949986525633084,0.01949986525633084,0.07117450818560757,7.117450818560757,6594395.119962185,0.0254103785093669,9.27478815591893,0.000254103785093669,0.0927478815591893
5,7.0,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,250.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,294967344.36402065,7341428.571428572,0.17,4.2314611464329347e-05,0.004231461146432935,0.015444833184480214,1.5444833184480213,269560512.7709148,0.0031081346877568,1.134469161031254,3.1081346877568e-05,0.01134469161031254
6,8.0,0x3DcB1787a95D2ea0Eb7d00887704EeBF0D79bb13,10.0,1.0,0x4B0F1812e5Df2A09796481Ff14017e6005508003,TWT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1753833.0539900342,252857.14285714287,0.17,0.000245991812303375,0.0245991812303375,0.08978701149073187,8.978701149073187,1080532.2753480182,0.0310154689242561,11.320646157353496,0.000310154689242561,0.11320646157353495
7,9.0,0x7EB5D86FD78f3852a3e0e064f2842d45a3dB6EA2,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,XVS,3206584.875071568,150000.0,0.17,7.97466138202808e-05,0.00797466138202808,0.029107514044402493,2.910751404440249,2681566.732950518,0.0624881245652197,22.8081654663052,0.000624881245652197,0.22808165466305202
8,10.0,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,250.0,1.0,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,66764240.68563838,3144285.714285714,0.17,8.006852516880638e-05,0.008006852516880639,0.029225011686614333,2.9225011686614333,60727616.00700782,0.0137965300679039,5.035733474784928,0.000137965300679039,0.050357334747849286
9,11.0,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,250.0,1.0,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,BTCB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,64303220.79143339,1752857.142857143,0.17,4.634293528881842e-05,0.004634293528881841,0.01691517138041872,1.691517138041872,59585225.166922,0.0140610424454335,5.13228049258325,0.000140610424454335,0.0513228049258325
10,12.0,0xACF47CBEaab5c8A6Ee99263cfE43995f89fB3206,10.0,1.0,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,ALPHA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1017617630.3618684,53687.142857142855,0.17,8.968706922332699e-08,8.968706922332698e-06,3.273578026651435e-05,0.0032735780266514346,805649130.3853474,4.159777990659862e-05,0.0151831896659084,4.159777990659862e-07,0.00015183189665908398
11,13.0,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,600.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,604256.609470108,33357142.85714286,0.17,0.09384612756966146,9.384612756966145,34.25383656292643,3425.383656292643,587801.1402569804,3.4208727658875207,1248.618559548945,0.034208727658875206,12.48618559548945
12,14.0,0x03F18135c44C64ebFdCBad8297fe5bDafdBbdd86,50.0,1.0,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,XRP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,7995068.310477555,410000.0,0.17,8.719661046913756e-05,0.008719661046913756,0.031826762821235206,3.182676282123521,7070108.960623052,0.0237006355873466,8.650731989381534,0.000237006355873466,0.08650731989381534
13,15.0,0x014608E87AF97a054C9a49f81E1473076D51d9a3,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,UNI,4897747.756971064,275714.28571428574,0.17,9.567079641953821e-05,0.00956707964195382,0.03491984069313145,3.4919840693131445,4576914.124145681,0.0366111470509267,13.363068673588272,0.000366111470509267,0.13363068673588271
14,16.0,0x1BdCebcA3b93af70b58C41272AEa2231754B23ca,10.0,1.0,0xa2B726B1145A4773F68593CF171187d8EBe4d495,INJ,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,107448255.3713755,41098.57142857143,0.17,6.502531957087933e-07,6.502531957087933e-05,0.00023734241643370957,0.023734241643370957,88796036.83386059,0.0003774179164146,0.1377575394913393,3.7741791641459997e-06,0.0013775753949133928
15,17.0,0xD8E2F8b6Db204c405543953Ef6359912FE3A88d6,10.0,1.0,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,SXP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,987632.753231417,205714.2857142857,0.17,0.0003543827387810313,0.03543827387810313,0.12934969965507642,12.934969965507642,717460.8043919693,0.0467108656006844,17.049465944249835,0.00046710865600684405,0.17049465944249836
16,18.0,0x133ee93FE93320e1182923E1a640912eDE17C90C,10.0,1.0,0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7,VAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,2956405.5996731115,13601.42857142857,0.17,7.820790413191309e-06,0.0007820790413191308,0.0028545885008148275,0.28545885008148275,2080396.883269824,0.016109048940238,5.87980286318688,0.00016109048940238,0.0587980286318688
17,19.0,0x66FDB2eCCfB58cF098eaa419e5EfDe841368e489,10.0,1.0,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,DAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,11918852.342979835,207142.85714285716,0.17,2.9604959664172235e-05,0.0029604959664172236,0.010805810277422867,1.0805810277422867,9273691.746491548,0.0036137943899624,1.319034952336295,3.6137943899624e-05,0.013190349523362949
18,20.0,0x2354ef4DF11afacb85a5C7f98B624072ECcddbB1,100.0,1.0,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,168722513.99138007,3007142.8571428573,0.17,3.0294881521796858e-05,0.003029488152179686,0.011057631755455852,1.1057631755455852,158297694.67428705,0.002117100648665,0.7727417367627603,2.117100648665e-05,0.007727417367627602
19,21.0,0x71b01eBdDD797c8E9E0b003ea2f4FD207fBF46cC,10.0,1.0,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,LTC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1824755.3586972677,76462.85714285714,0.17,7.123538080739958e-05,0.007123538080739958,0.026000913994700846,2.6000913994700845,1751078.872826271,0.0191386097609763,6.98559256275635,0.000191386097609763,0.0698559256275635
20,22.0,0xB2678C414ebC63c9CC6d1a0fC45f43E249B50fdE,10.0,1.0,0x78650B139471520656b9E7aA7A5e9276814a38e9,BTCST,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,3611684.323469398,79627.14285714286,0.17,3.7479940704142564e-05,0.0037479940704142566,0.013680178357012036,1.3680178357012036,3163041.1386069325,0.010595251133051,3.867266663563641,0.00010595251133051,0.038672666635636406
21,23.0,0x05faf555522Fa3F93959F86B41A3808666093210,10.0,1.0,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,UST,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,388720.53224082617,494285.7142857143,0.17,0.0021609355059217456,0.21609355059217455,0.7887414596614372,78.87414596614371,298461.67167340097,0.1122864956823833,40.98457092406992,0.001122864956823833,0.4098457092406992
22,24.0,0xC5768c5371568Cf1114cddD52CAeD163A42626Ed,10.0,1.0,0x762539b45A1dCcE3D36d080F74d1AED37844b878,LINA,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,2468817.3139939434,367142.8571428572,0.17,0.00025286833122365485,0.025286833122365484,0.09229694089663402,9.229694089663402,2206947.942270125,0.0151853220304053,5.5426425410979485,0.000151853220304053,0.05542642541097949
